Specimen;notch angle (°);Width (mm);Thickness (mm);dic_images pixel size (mm);
angle_0_test_1;0;24.83;2.82;0.017;
angle_0_test_2;0;24.9;2.88;0.017;
angle_0_test_3;0;24.75;2.85;0.021;
angle_0_test_4;0;24.73;2.87;0.021;
angle_0_test_5;0;24.75;2.87;0.021;
angle_0_test_6;0;24.72;2.84;0.021;
angle_5_test_1;5;24.99;2.9;0.017;
angle_10_test_1;10;24.87;2.9;0.017;
angle_15_test_1;15;24.89;2.86;0.017;
angle_20_test_1;20;24.9;2.89;0.017;
angle_25_test_1;25;24.84;2.89;0.017;
angle_30_test_1;30;24.96;2.85;0.021;
angle_35_test_1;35;24.84;2.91;0.017;
angle_40_test_1;40;24.78;2.91;0.017;
angle_45_test_1;45;24.95;2.86;0.016;
angle_50_test_1;50;24.8;2.91;0.017;
angle_55_test_1;55;24.8;2.91;0.017;
angle_60_test_1;60;24.81;2.84;0.016;
angle_65_test_1;65;24.95;2.87;0.021;
angle_70_test_1;70;24.85;2.87;0.016;
angle_75_test_1;75;24.81;2.85;0.016;
angle_80_test_1;80;24.78;2.87;0.016;
angle_80_test_2;80;24.73;2.9;0.017;
