t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6796875e-05,-0.19447416067123413,0.0001232242793776095,0.002324161527625181,0.001851805886652335,0.0,4.163004776997146e-24,0.00012322427937760952,627.818402419954,304568.9949150968,710171.8928490189,585446.4894906613,-2539446.6497548507
2,0.00019359375,0.018852630630135536,0.000136202375870198,0.002420941201280621,0.0018536306542847156,0.0,-2.2389673577519823e-24,0.00013620237587019804,661.6294545041214,336367.4296432801,1106754.54855988,-186435.89540934277,-16866590.42957512
3,0.000290390625,-0.10685643553733826,0.00012508747749961913,0.0025171859741463715,0.001843306957960934,0.0,-1.5685372689059826e-23,0.00012508747749961915,602.9095365940248,307759.40848057985,1128456.9525120899,102595.07501276312,-13802410.80294528
4,0.0003871875,-0.12829206883907318,0.00012048198550473899,0.0026131873582557726,0.0018309227236751613,0.0,-2.700221874803832e-24,0.00012048198550473899,570.9335277474956,296206.140485372,1138378.5817171533,16648.99374200288,-11575132.161027523
5,0.000483984375,-0.1413177102804184,0.00011700097093125805,0.0027090192902970343,0.0018172890957278895,0.0,3.5047405648718956e-24,0.00011700097093125807,430.9639567527629,287047.0900096659,1138558.0999240135,9876.238965987819,-10412905.954331476
6,0.00058078125,-0.13959132134914398,0.0001153963094111532,0.0028048746164613778,0.00180382093120213,0.0,1.3146755255547875e-23,0.00011539630941115324,481.42986386094344,282970.4048608817,1138657.3351272773,-1318.0662424000473,-9768928.446890641
7,0.000677578125,-0.13604214787483215,0.00011376544716767967,0.0029007771396511316,0.00179069305796979,0.0,1.0576837729265552e-24,0.00011376544716767971,505.49914685733347,276532.2201494374,1138651.8810549437,-2607.0250380078824,-9371193.76039434
8,0.000774375,-0.1283530741930008,0.0001122210524044931,0.0029967777680772953,0.0017783029671086508,0.0,-1.1056161687988931e-24,0.00011222105240449312,740.6701440167535,273155.23331051104,1138625.1270671713,-5662.582878395674,-9117587.72218135
9,0.000871171875,-0.12012894451618195,0.00011073469795519486,0.0030928770465229656,0.0017667028079723648,0.0,6.958967905720475e-24,0.00011073469795519487,706.3445309963208,269184.3072910315,1138620.4264323062,-6008.706023518036,-8937722.552107794
10,0.00096796875,-0.11270438879728317,0.00010932722216239199,0.003189059801527752,0.0017558164564506257,0.0,2.210383531751568e-24,0.000109327222162392,750.8881404445065,264764.60770314833,1138627.641982232,-5413.519861767531,-8803366.817267101
