t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.7265625e-05,-0.24281010031700134,0.00011445173731772229,0.0028101241259905836,0.0009650525192412891,0.0,2.0377014599419385e-23,0.00011445173731772233,396.5309360367787,283003.28829057503,977951.3685899162,348849.4453540065,-9107231.34786777
2,0.00019453125,0.07266919314861298,0.00011896470823558047,0.00290713304326719,0.000972114514388637,0.0,1.6590868284851423e-23,0.00011896470823558049,393.7122261456816,293280.8748823463,1095299.852508827,-181357.47433073257,-11959510.083601106
3,0.00029179687499999996,-0.1741742640733719,0.00011427616846049204,0.003002927036493555,0.0009552588723543594,0.0,-4.756707410520235e-24,0.00011427616846049206,575.6313784009503,280868.7172531841,1112327.9187144595,141348.1386302032,-11695496.979792356
4,0.0003890625,-0.03836621344089508,0.0001137739818659611,0.003100121084411405,0.0009515280740506004,0.0,-1.888408903638431e-24,0.00011377398186596112,401.6439019680681,279031.7837655902,1130741.9261961912,-77518.35177317714,-10463049.997066189
5,0.000486328125,-0.11689402908086777,0.00011178843851666898,0.0031967229365967797,0.0009401841787321662,0.0,-1.7046281575793518e-23,0.00011178843851666899,339.6880258889448,273243.0764703002,1136017.84117783,44776.39600631248,-10853939.402686961
6,0.00058359375,-0.06828635931015015,0.00011044638085877523,0.0032937618735936628,0.0009335474240165258,0.0,2.4346183728762936e-24,0.00011044638085877524,354.3066341152779,269716.7549701731,1137644.6275114333,-27751.008214748574,-10323725.736399366
7,0.000680859375,-0.08101698756217957,0.00010899051994783804,0.0033907084594251673,0.0009256758738353105,0.0,-1.1337694648922054e-23,0.00010899051994783804,377.8198045935328,264020.89426733745,1138589.590670719,7264.519158842638,-10342670.521124907
8,0.0007781250000000001,-0.06518740952014923,0.00010758209828054532,0.0034877674974029154,0.0009193398692997514,0.0,-1.1078847121985701e-23,0.00010758209828054535,344.5770042587301,259961.01999209198,1138550.2451471328,-9088.409777644423,-10148911.59399422
9,0.0008753906250000001,-0.06339134275913239,0.0001061907532857731,0.003584837758712501,0.0009131781994019518,0.0,4.373870295229218e-24,0.00010619075328577311,365.62020405910675,257245.83506452775,1138657.3949824518,-1125.845537612156,-10067246.73950178
10,0.0009726562500000001,-0.05613517388701439,0.00010480594210093841,0.0036819501742872125,0.0009077210437430841,0.0,4.398473452479703e-24,0.00010480594210093842,354.4754301205826,253291.02841245953,1138635.5541142412,-4222.134651936839,-9977524.303164443
11,0.0010699218750000001,-0.0523981936275959,0.00010349094372941181,0.003779082305009734,0.0009026268325241,0.0,4.381437527030518e-24,0.00010349094372941184,345.7856609610992,249379.31329162317,1138652.8074201373,-2180.419650601374,-9888501.513447048
12,0.0011671875,-0.04813851788640022,0.0001022469368763268,0.0038762352541325553,0.0008979464176515517,0.0,4.729287766510718e-24,0.00010224693687632681,332.19925601257114,245614.72946299516,1138651.213362448,-2446.0188532602056,-9800524.678474253
13,0.001264453125,-0.04485385864973068,0.00010099398059537634,0.003973403052705228,0.000893585141785333,0.0,4.662781860611837e-24,0.00010099398059537634,355.97505204666004,241908.41306820963,1138654.0957463873,-1953.4466590787029,-9716919.907405877
14,0.0013617187499999999,-0.04156919941306114,9.979059541365132e-05,0.004070584652386646,0.000889543051979147,0.0,4.622037345689459e-24,9.979059541365132e-05,337.32362106314304,238271.3566587416,1138654.2071565203,-1904.8613199994802,-9637209.200932402
15,0.0014589843749999998,-0.039309728890657425,9.860752470558509e-05,0.004167775136977071,0.0008857205512637769,0.0,1.9237556341767577e-24,9.86075247055851e-05,316.4244792613131,234625.05810486348,1138656.512368023,-1390.4704493683791,-9563566.696573643
16,0.0015562499999999997,-0.0363006666302681,9.74840804701671e-05,0.004264976683689645,0.000882190519631643,0.0,5.546042792417783e-24,9.748408047016713e-05,326.4506742828444,231068.36917782397,1138654.9828258958,-1752.4898316725184,-9494456.457836922
17,0.0016535156249999996,-0.034693848341703415,9.637937910156325e-05,0.0043621837770385545,0.000878816677712267,0.0,5.180285973463391e-24,9.637937910156325e-05,428.58976289085444,227389.47931570123,1138657.867769064,-927.3556836035706,-9423004.543386178
18,0.0017507812499999995,-0.03224656730890274,9.531292016617954e-05,0.004459398836023099,0.0008756807387345091,0.0,-2.2107055517032048e-24,9.531292016617955e-05,398.4305030541318,224270.36286535216,1138656.440207539,-1420.8269833767297,-9353912.54905002
19,0.0018480468749999994,-0.030639752745628357,9.433038212591782e-05,0.004556618808380423,0.0008727010103103459,0.0,1.4775125150937295e-23,9.433038212591784e-05,261.19629689890917,221102.84955785738,1138657.8255855134,-970.8768763446695,-9271434.206280269
20,0.0019453124999999993,-0.029032938182353973,9.328033775091171e-05,0.004653843443102899,0.0008698775001329969,0.0,4.549168286478505e-24,9.328033775091173e-05,312.85698594455266,217579.3459726974,1138657.6552893228,-991.1974427524632,-9211155.544374678
21,0.0020425781249999993,-0.02694186195731163,9.231126023223624e-05,0.004751073769433946,0.000867257300102681,0.0,-1.8843889248431782e-23,9.231126023223624e-05,312.92093330841476,214616.73128493407,1138657.111284184,-1235.7863338798006,-9151094.763194077
22,0.0021398437499999994,-0.026026131585240364,9.134940046351403e-05,0.004848306454394574,0.0008647261379214291,0.0,9.112829150312466e-24,9.134940046351403e-05,444.53070538389215,211608.49546324505,1138658.7599780536,-565.9892336808425,-9082687.948662033
23,0.0022371093749999995,-0.024587709456682205,9.04372354852967e-05,0.004945542679643614,0.0008623348399561739,0.0,-7.326814614405025e-24,9.043723548529672e-05,370.4309017751975,208543.9107613255,1138658.1716255043,-878.743548088459,-9030110.675171053
24,0.0023343749999999996,-0.02298089489340782,8.954913209890947e-05,0.005042782621738601,0.0008600997855934843,0.0,1.1181376769771067e-23,8.954913209890948e-05,321.00676033441846,205781.8148810455,1138657.940540363,-964.9487359191037,-8973140.346769037
25,0.0024316406249999998,-0.022065164521336555,8.863081166055053e-05,0.005140024569769602,0.0008579537777238203,0.0,-2.002178684870599e-23,8.863081166055055e-05,363.83275068110606,202793.0272022542,1138658.6338018253,-569.5617668856137,-8916123.023165395
26,0.00252890625,-0.02114943414926529,8.77798956935294e-05,0.00523726844219321,0.0008558968181467428,0.0,7.482197190415008e-24,8.777989569352941e-05,332.1298757676843,200267.57145913385,1138658.5776128753,-562.2358861368563,-8862034.211122071
27,0.002626171875,-0.020126502960920334,8.696177246747538e-05,0.005334514367867138,0.0008539393334184839,0.0,5.825310404628483e-24,8.69617724674754e-05,297.9923694935658,197416.4151587669,1138658.5931985262,-639.3589922757984,-8818405.662277685
28,0.0027234375,-0.019210772588849068,8.616462582722306e-05,0.005431762045295663,0.0008520709005462152,0.0,4.970238285563197e-24,8.616462582722308e-05,273.3388504933364,194780.07201351528,1138658.6193408165,-568.6698808196628,-8764948.702296227
