t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.69140625e-05,-0.24774396419525146,0.00014322626520879567,0.0008315893713228948,0.002729123587549099,0.0,2.158948342839732e-24,0.0001432262652087957,39.19975349129618,361631.85628345795,89899.07678146388,351822.54596558044,12484545.747364772
2,0.000193828125,-1.9701565504074097,0.0002028224553214386,0.0007939063743252855,0.002639835697846564,0.0,2.984100972763128e-24,0.00020282245532143864,312.40443162020483,511376.75446529937,837408.1168012507,-249401.02345257762,-19708040.906384394
3,0.0002907421875,-0.3218640387058258,0.00025980311329476535,0.0008858436482289696,0.002609178346731165,0.0,4.992972370756628e-23,0.0002598031132947654,593.4496213522139,655081.8058235581,-5515.940378916651,-84088.0795263338,18813865.319297895
4,0.00038765625,-0.2610885500907898,0.00023306463845074177,0.0009794732505642892,0.0025841616907439267,0.0,1.0040940382636715e-23,0.0002330646384507418,736.723712085779,587617.5007977665,1103576.7431158652,-275528.1411447485,-18950032.254288096
5,0.0004845703125,-0.2092234194278717,0.00020389846758916974,0.001074273860198926,0.00256403260921607,0.0,-1.7016497241151e-24,0.00020389846758916977,732.7006286048095,512930.00686369796,1130090.50527324,-130260.01380147773,-15408995.779278686
6,0.000581484375,-0.16870881617069244,0.0001867719693109393,0.001169811974713632,0.0025477598041343144,0.0,5.893916479921931e-24,0.00018677196931093934,740.5732831219984,469449.6344679642,1135429.7041958375,-75872.91516951942,-12485779.633906143
7,0.0006783984375,-0.1388315111398697,0.00017578189726918936,0.0012657935664224962,0.002534348258239571,0.0,-3.297811540915978e-24,0.00017578189726918936,1005.7260239929587,441189.4123180892,1137164.1737997674,-50343.50634248652,-11295345.499003492
8,0.0007753125,-0.12525339424610138,0.00016747006156947464,0.0013619484083741602,0.0025222411578639894,0.0,1.4417427951050914e-23,0.00016747006156947466,647.2567465150737,420426.3082470365,1138356.5071059458,-22558.505815327026,-11122841.711511226
9,0.0008722265625,-0.12017056345939636,0.00016042703646235168,0.0014581635463177633,0.002510622950569086,0.0,5.814651877526834e-24,0.0001604270364623517,804.372560676567,401937.10630028875,1138617.3098341546,-8343.619738737536,-10873073.31282902
10,0.000969140625,-0.11925483494997025,0.000154394845594652,0.00155438928304251,0.002499092855077996,0.0,2.5872682315812643e-24,0.00015439484559465202,839.0982749442655,386898.9952240911,1138657.4927180745,-1530.8716444539066,-10595615.381395757
11,0.0010660546875,-0.11971823871135712,0.00014906433352734894,0.0016506096663459243,0.002487518169458165,0.0,3.3581421369646793e-23,0.00014906433352734894,828.1126709579943,373649.0855889217,1138658.6240506424,783.1388017955699,-10282453.067622289
12,0.00116296875,-0.12115666270256042,0.00014435545017477125,0.001746813300806566,0.0024758050901526546,0.0,3.0928055715004397e-23,0.00014435545017477128,845.0488259166164,361348.5793872842,1138655.6346694422,2311.0377549272143,-10024364.861571794
13,0.0012598828125,-0.12248788774013519,0.00014008300786372274,0.0018430012572832656,0.0024639639525767952,0.0,-8.72482625909498e-24,0.00014008300786372274,1082.6117107231594,348736.8171513631,1138656.379909317,1997.8300334529617,-9738024.852995
14,0.001356796875,-0.12333536893129349,0.00013625278370454907,0.0019391791440775239,0.0024520413017790604,0.0,-1.245723614847026e-23,0.0001362527837045491,1021.5725259811065,339574.49258074263,1138658.0641276522,1277.0686058144659,-9472653.42477598
15,0.0014537109375,-0.12345493584871292,0.0001327976497123018,0.002035355604629691,0.0024401071513731297,0.0,1.2891791225343689e-23,0.00013279764971230176,907.3762843830309,330059.9926840782,1138658.989575325,214.00757815562662,-9207769.469683893
16,0.001550625,-0.12326712161302567,0.0001295573456445709,0.0021315343048889084,0.002428191064486006,0.0,3.428334169997445e-24,0.00012955734564457091,783.7704495396304,321707.0031457152,1138658.9404983849,-275.0174854652465,-8991810.193383401
17,0.0016475390625,-0.12285254150629044,0.000126611819723621,0.002227717937055121,0.002416314852397608,0.0,9.288078195190195e-24,0.000126611819723621,985.9870816210914,314137.9902594846,1138658.9046154218,-608.5594023465238,-8820562.877894366
18,0.001744453125,-0.12182961404323578,0.00012388474715407938,0.002323913667400379,0.002404537035384409,0.0,3.7595703354201596e-25,0.0001238847471540794,973.0781701005467,306818.9691230383,1138657.8829241775,-1414.7291320611323,-8619691.216325508
19,0.0018413671875,-0.12068620324134827,0.00012138778402004391,0.00242012280174332,0.0023928692172835043,0.0,4.708705438039476e-24,0.00012138778402004394,1017.8959642457778,299804.2569770437,1138657.4486340128,-1518.1713152865912,-8438318.47247377
20,0.00193828125,-0.11907938867807388,0.00011900925892405212,0.0025163505598993436,0.002381356004416553,0.0,4.941807679477454e-24,0.00011900925892405212,1036.465650884416,293330.96062003763,1138655.7739504413,-2206.399314180288,-8281452.184305709
21,0.0020351953125,-0.11728332191705704,0.00011679606541292742,0.0026125988413347977,0.0023700156415045683,0.0,4.9954340830851425e-24,0.00011679606541292743,1041.6094438119906,287108.0999042345,1138654.9246618447,-2429.5876050979355,-8131308.799090103
22,0.002132109375,-0.11529944092035294,0.00011471446487121284,0.002708869431279819,0.002358866245920437,0.0,5.5467780937725376e-24,0.00011471446487121285,1045.3024499586334,281325.56151435483,1138654.477755538,-2576.636639227869,-8004430.449786962
23,0.0022290234375,-0.11331555992364883,0.00011278451711405069,0.002805161950834303,0.002347907861545755,0.0,1.0061492444649621e-23,0.00011278451711405071,1063.4687992935667,275582.8520518827,1138654.5508309237,-2541.902787168471,-7876449.896538175
24,0.0023259375,-0.11122447997331619,0.00011096923117293045,0.0029014771747049427,0.00233715085633973,0.0,1.6599679026593162e-23,0.00011096923117293046,1091.351549578542,270909.70708449796,1138653.8865582808,-2731.9327354516254,-7763177.469278821
25,0.0024228515625,-0.10896500945091248,0.00010921590001089498,0.0029978164578365993,0.00232661149981609,0.0,-2.4104083945354277e-24,0.000109215900010895,1216.3951203857278,266065.75703343283,1138653.1445338007,-2834.666905270404,-7653040.859691672
26,0.002519765625,-0.10658597201108932,0.00010757780546555296,0.0030941805418370346,0.002316301367663158,0.0,2.4752603068898744e-23,0.00010757780546555297,1147.501957085723,261505.13564238843,1138652.873950868,-2943.021912520529,-7559502.712154192
27,0.0026166796875,-0.10432650148868561,0.00010598439257591963,0.003190567675278135,0.0023062089934498507,0.0,2.4546176405240952e-23,0.00010598439257591964,1158.7579091587108,256939.03406041942,1138653.5369002346,-2785.839201017314,-7472836.314822527
28,0.00271359375,-0.10187921673059464,0.00010454349830979481,0.0032869792189672707,0.00229635253598625,0.0,2.4237514154554062e-23,0.00010454349830979483,1155.0695638162756,252833.86298556658,1138652.7739086729,-2957.64073463381,-7399241.135161315
29,0.0028105078125,-0.09966856986284256,0.00010310052311979234,0.003383412316205916,0.002286709234310171,0.0,2.341377372658095e-23,0.00010310052311979237,1154.2063583149131,248396.39682825605,1138653.8658681668,-2702.436601529976,-7331233.255365938
30,0.002907421875,-0.09740909934043884,0.00010178307275054976,0.003479866956026539,0.0022772838448048087,0.0,2.485224594787783e-23,0.00010178307275054976,1159.5269363053606,244750.67298346735,1138653.264427783,-2830.5124714072035,-7245409.478451364
31,0.0030043359375,-0.09519845247268677,0.00010044876398751512,0.003576342196353112,0.0022680717053039133,0.0,2.463196768488529e-23,0.00010044876398751514,1167.6954102705045,240809.971410972,1138653.8278147099,-2664.925792043514,-7200287.037306896
32,0.00310125,-0.09293898195028305,9.924251935444772e-05,0.003672838004956691,0.002259077572094133,0.0,2.44307528981325e-23,9.924251935444774e-05,1176.3323593274995,237175.01551156954,1138653.562994651,-2715.0004185607586,-7143392.380644384
33,0.0031981640625,-0.09084790199995041,9.804635192267597e-05,0.0037693524100287394,0.002250285238851898,0.0,2.3453041594006608e-23,9.804635192267598e-05,1186.5369154165928,233567.3619186513,1138654.1464507736,-2599.986145139874,-7085478.732866681
34,0.003295078125,-0.08858843147754669,9.690510341897607e-05,0.003865886434738763,0.0022417109993206927,0.0,2.481487109674567e-23,9.690510341897607e-05,1209.2929415391714,229888.41751385434,1138653.2349823928,-2805.449642150885,-7055234.26296211
35,0.0033919921875,-0.08632896095514297,9.579703328199685e-05,0.003962439586260789,0.0022333548972737656,0.0,2.4640593731101856e-23,9.579703328199686e-05,1172.799276386662,226475.21275719308,1138653.5533123857,-2717.5491343836024,-7014500.437407213
36,0.00348890625,-0.08423788100481033,9.47387088672258e-05,0.004059009999952714,0.002225200713707992,0.0,2.4741833116889863e-23,9.47387088672258e-05,1225.2048164505675,223211.96467474682,1138654.410492038,-2538.4506408071647,-6967138.84403776
37,0.0035858203125,-0.08197841048240662,9.373106149723753e-05,0.004155598591260491,0.0022172647487740233,0.0,2.3142156200798173e-23,9.373106149723756e-05,1221.6498611884583,219296.9747649391,1138653.4202260124,-2786.356571359305,-6943481.104429174
