t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.69140625e-05,0.07665631920099258,0.0003395599778741598,0.0008342637376642961,0.002760310406593386,0.0,5.118421893201007e-24,0.0003395599778741598,92.93454247919544,857354.6544636238,213132.1966562501,834098.7998922324,29598286.819558717
2,0.000193828125,0.05371752381324768,0.0002569816424511373,0.0009310380075140504,0.0027655138867077743,0.0,1.6844209629001967e-23,0.0002569816424511373,210.88620623991892,649858.6927873192,1138434.0277829657,13071.934779348356,-30225064.49006184
3,0.0002907421875,-0.057008903473615646,0.00022497985628433526,0.0010277946265800433,0.0027599919144901475,0.0,1.538985825847389e-23,0.00022497985628433523,275.0291398753716,568605.0374392434,1133405.745608209,63146.63850928214,-23993625.153648384
4,0.00038765625,-0.06737428158521652,0.00020096967637073249,0.0011244888115705298,0.0027534673379307453,0.0,1.4337748946271472e-23,0.00020096967637073249,328.41638805954926,507561.7836504837,1138612.812791996,5931.51152531037,-18933252.42015127
5,0.0004845703125,-0.12672725319862366,0.00018414686201140285,0.0012206257049337268,0.002741218532081717,0.0,1.3690766163979605e-23,0.00018414686201140285,378.54410163020793,464690.44687355496,1137153.4066948644,33807.645927217396,-16223307.520661172
6,0.000581484375,-0.1138770580291748,0.00017372459114994854,0.0013169120561969095,0.0027302060813700502,0.0,1.3433626364133996e-23,0.00017372459114994856,429.7303559518459,437978.7015471821,1138587.8802144232,-7350.577256133974,-14386395.812070966
7,0.0006783984375,-0.14367824792861938,0.00016508814587723464,0.0014128275185846444,0.0027163294973090897,0.0,1.3363089333997687e-23,0.00016508814587723464,1087.8535755342814,414451.1326248968,1138279.2864858962,16979.678736078156,-13339580.123304805
8,0.0007753125,-0.13141246140003204,0.00015816189988981932,0.0015089059687951785,0.002703630406184296,0.0,1.327065318381613e-23,0.00015816189988981935,1107.2892367895802,396611.56773671904,1138594.0249445178,-7027.054798995445,-12312610.552396609
9,0.0008722265625,-0.14281043410301208,0.00015220636851154268,0.0016048334373558971,0.0026898370641024708,0.0,1.333261911232551e-23,0.0001522063685115427,1125.780163983995,381208.69636715174,1138603.2143838343,6511.362685417896,-11664086.407492764
