notch angle (°),stress at break (MPa),precrack half length (m),K1 left tip (MPa.sqrt(m)),K1 right tip (MPa.sqrt(m)),K2 left tip (MPa.sqrt(m)),K2 right tip (MPa.sqrt(m)),T left tip (MPa.sqrt(m)),T right tip (MPa.sqrt(m)),Branching angle top (°),Branching angle right (°)
0,10.7996932191602,0.002435,0.974993101924205,0.983236741561361,-0.0125053636132656,0.000401422304012309,-10.6779529392559,-10.8084480554653,0,0
5,11.432638396453,0.00276,0.978417697805135,1.02424696064639,0.0940979785075765,0.0821933628954814,-9.8977835187925,-9.65997196055576,4,6
10,13.6540774816116,0.002905,1.2000067597213,1.18868127446465,0.199901831509667,0.19539175067411,-12.0062916333542,-12.2592702620798,10,11
15,12.9439904416911,0.00329,1.13371590009597,1.19603764674589,0.286800082627559,0.291380623192905,-10.6110118266077,-10.8817379696771,17,18
20,13.6695878103919,0.00265,1.06653828351,1.0526898785661,0.347804833849631,0.342430087562909,-9.82786119651661,-9.68759339189554,24,24
25,12.6380560037011,0.00265,0.909738340991034,0.886915462030816,0.394934295372172,0.381136308180019,-7.76694640843003,-7.78849044194509,29,30
30,11.3174021813819,0.002975,0.818104287493181,0.80442420721906,0.434975112028065,0.44114919978633,-6.21067466559567,-5.77233305719492,30,34
35,11.8122816121438,0.00276,0.66329389877347,0.677647721373068,0.447907264486482,0.457565870486906,-4.0915125854686,-3.84825938497653,49,47
40,12.1065440867128,0.002695,0.629241076874,0.617796714396372,0.49190825706629,0.486360250752769,-2.40399349377775,-2.74831424894902,47,47
45,12.0899961680236,0.00281,0.592478585493709,0.594718358074461,0.554679679598887,0.563659287222613,-0.246577479090536,-0.540668599501984,49.5,53.5
50,13.8201714371409,0.002665,0.521080517104933,0.500278904551338,0.576375599585074,0.571029127676849,1.57919359170238,1.71930033852395,60,58
55,15.4571476594901,0.002625,0.466534073168204,0.433293741429616,0.623734947862886,0.610008157725458,3.90978144382391,4.15121069532448,61,63
60,15.5175118917202,0.002895,0.410987877590302,0.384352255279692,0.642534904528989,0.636391326555946,6.88294491257243,6.90118248149673,63,60
65,16.9147194494402,0.00288,0.314876381131549,0.334653660686351,0.661924709155916,0.666870439573556,9.05106806252923,8.76190563505865,64,67
70,21.676609152914,0.002925,0.309966121400913,0.293304057417665,0.761883060767852,0.721306160140813,15.4619564175164,16.7862172105307,71,74
75,26.3807695481142,0.00282,0.210432980838075,0.161169577739227,0.745176699341549,0.707841367748328,23.2295518842683,22.9609370932315,76,76
80,31.6765343929064,0.0032,0.128656430253201,0.111608103058884,0.708764178633438,0.732880996936652,33.1513967105858,31.4360227794589,83,80
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0,10.6943686048482,0.00303,0.957587863041658,0.97134938778438,-0.00274844921603589,-0.00872859897785791,-9.90136463312204,-10.0742229964496,0,0
80,30.2610218384475,0.002975,0.107261070239474,0.070218218661494,0.686420445758951,0.635377489115072,28.4007026140388,27.6418290764228,81,81
0,9.73558586454552,0.003175,0.938624634533954,0.883232182086805,-0.0285619424549302,-0.0218141149158359,-9.34403647985194,-8.75287659018977,0,0
0,10.4689574451621,0.002895,0.975326451475796,0.977126952967751,-0.0237248510245126,-0.0245529027085914,-9.86038454062585,-9.92915559625808,0,0
0,9.71625146848055,0.00326,0.946903128970185,0.957207621823914,-0.025369597599311,-0.0130723778494999,-9.24578921581278,-9.17792620317194,0,0
0,9.02946505742617,0.00348,0.917692583778909,0.923108752836252,-0.00985958204249566,-0.0277987960858384,-8.67444492927663,-8.55701439425402,0,0
