t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.70703125e-05,0.02496415004134178,0.0002533496590331197,0.0010786378778796471,0.0026993408478078688,0.0,2.1018105097908928e-23,0.00025334965903311973,240.134005763186,639166.382905798,286423.46278869454,800621.0669898549,19396062.863886967
2,0.000194140625,0.10762856900691986,0.0002252412959933281,0.001175146506075332,0.0027097682277584948,0.0,4.931843438204231e-24,0.0002252412959933281,839.9657578919168,567106.8204645882,1135735.7242295812,-47106.208503882706,-27981379.663843296
3,0.0002912109375,-0.10897736251354218,0.00019540720677468926,0.0012716409821065583,0.002699210687121266,0.0,-4.253209248990661e-24,0.0001954072067746893,1022.5533605010683,491897.03603614523,1118429.961149984,123898.14686201651,-21391610.417779863
4,0.00038828125,-0.02692129649221897,0.00017779249174054712,0.0013686761205753742,0.0026965977441089943,0.0,-3.303070678411077e-24,0.00017779249174054715,1006.9232065398778,447135.39966320415,1135775.7089849191,-46782.54600699333,-16926546.23411528
5,0.0004853515625,-0.17042717337608337,0.00016319658607244492,0.0014643401178754186,0.002680134294002022,0.0,-3.3848198592538504e-24,0.00016319658607244494,728.9880801789363,408162.655300365,1129825.6975008352,81880.12019035088,-14811050.12184073
6,0.000582421875,-0.09189935773611069,0.00015651837748009712,0.0015610008155089354,0.00267122614594255,0.0,-2.7826970119394922e-24,0.00015651837748009714,763.6514055544053,391002.2599834884,1136022.4197463642,-44738.31164316439,-12836952.742544638
7,0.0006794921875000001,-0.1642325222492218,0.0001500131911598146,0.0016567649620014586,0.002655355613014944,0.0,2.2777612777769167e-23,0.0001500131911598146,788.6112413752403,374976.634317566,1136419.900238601,41226.091720906916,-12295573.351691904
8,0.0007765625000000001,-0.12688720226287842,0.00014499457029160112,0.001753054888795808,0.0026430716573496663,0.0,2.2397810363025608e-23,0.00014499457029160112,819.9745088261689,361936.48286481557,1138061.2227158425,-21301.798651746838,-11181146.755729234
9,0.0008736328125000002,-0.14993318915367126,0.00014040141832083464,0.0018490361752663599,0.002628572063689653,0.0,6.758080652554272e-24,0.00014040141832083466,836.555523164232,350466.36429458216,1138430.2449520342,13182.449180456208,-10777483.672802104
10,0.0009707031250000002,-0.13756020367145538,0.00013640902761835605,0.001945189513590518,0.0026152611246556237,0.0,6.931356304730435e-24,0.00013640902761835605,865.2998109003784,339969.8552121817,1138592.3292200884,-7120.232474950358,-10173940.968800928
