Beta,R2_Score,Non_Zero_Coefficients,RRMSE
0.0001,0.9994845346506809,45.0,0.022578987388065273
0.0001142802059810032,0.9994798157468421,40.0,0.022682103269404005
0.00013059965479060535,0.9994994763696916,39.0,0.022249334007628106
0.0001492495545051829,0.999528989907158,41.0,0.021583398507593395
0.00017056269831425286,0.9995310977363826,36.0,0.02153505014838448
0.00019491940296028525,0.9995094234354387,35.0,0.02202714048146735
0.00022275429519995563,0.9994518635192858,33.0,0.023283543525383858
0.0002545640673860415,0.9993112341722715,27.0,0.02610000068793417
0.00029091634056238803,0.99926867437143,27.0,0.02689429221675671
0.00033245979322709415,0.9992281910418759,25.0,0.027628647803781665
0.00037993573650394054,0.9991777809430434,24.0,0.028516649124109932
0.0004341913422721453,0.9991173828267558,24.0,0.029545470440129108
0.0004961947603002903,0.9990440415128491,22.0,0.030748521589728458
0.0005670523941381169,0.9989563707544522,23.0,0.03212756738729263
0.0006480286440412508,0.9988457283126918,25.0,0.03378770894082106
0.0007405684692262435,0.9986985766518595,26.0,0.035876826448646364
0.0008463231720621142,0.9985426393346772,22.0,0.037965423135942714
0.0009671798642975443,0.998320907205035,20.0,0.04075135669142791
0.0011052951411260222,0.9980223449347656,17.0,0.044226237699515
0.0012631335639768382,0.9977727514716678,16.0,0.04693416146839009
0.0014435116387279175,0.9974144280360581,18.0,0.05056884539216671
0.0016496480740980208,0.9969174091829298,17.0,0.055215710250449156
0.0018852212170408723,0.9964291557415788,15.0,0.059427871725367794
0.002154434690031882,0.9960767457014356,16.0,0.06229138001447598
0.0024620924014946257,0.9954837437405417,17.0,0.06683347011093581
0.0028136842678706895,0.9947177739680119,14.0,0.07227917941611306
0.0032154841769777057,0.9937720663269581,13.0,0.07848320178969434
0.003674661940736688,0.9930984760972398,12.0,0.08261848387648019
0.0041994112349794215,0.9925584021156996,12.0,0.08579022802130701
0.004799095809323873,0.9918661321649022,11.0,0.0896919112436615
0.005484416576121015,0.9910124446905504,10.0,0.0942812888502421
0.006267602560047386,0.9899560558025642,10.0,0.09966825814711601
0.00716262911569279,0.988847999938657,9.0,0.10502219824299312
0.008185467307069028,0.9877481910644237,9.0,0.11007908995659159
0.009354368899026163,0.9863848211474077,10.0,0.11604231872016604
0.01069019204603001,0.9847071521926033,9.0,0.12298408265126798
0.012216773489967919,0.9826665881609159,8.0,0.13093228608298235
0.013961353908567946,0.9803298376980084,7.0,0.13947895807300467
0.01595506400444829,0.9773017653973106,7.0,0.14983068429989177
0.018233480008684404,0.9734646004634808,7.0,0.1620009414210727
0.0208372585114296,0.9687792328608268,6.0,0.17572214980647538
0.023812861947655868,0.9627129589384708,6.0,0.19203645632991984
0.027213387683753087,0.954901843542578,4.0,0.21119523591153114
0.031099515499401986,0.9459459001678686,3.0,0.23121661693871054
0.03554059037181064,0.9350227376002544,3.0,0.25350435683858824
0.0406158598837698,0.9211278576313018,3.0,0.279297174086582
0.046415888336127774,0.9033983322804523,3.0,0.30909859773308407
0.053044172798439315,0.8807297784189663,3.0,0.3434557059304486
0.06061898993497572,0.8517264771234909,2.0,0.3829451079778919
0.06927550656129393,0.8411308945304001,2.0,0.39639160473470625
0.0791681915926301,0.8278560832513735,2.0,0.41262027375298665
0.09047357242349302,0.8111645933257458,2.0,0.43216186070665796
0.10339338492393994,0.7901025795629173,2.0,0.4556257635196554
0.11815817326181008,0.7570965525850133,3.0,0.4901415976778913
0.13503140378698736,0.7143314314941165,3.0,0.5315399999824635
0.1543141663868093,0.6695436841210947,2.0,0.5716915211634425
0.17635054720471388,0.6098275362455511,3.0,0.621202265323345
0.20153376859417332,0.54342910331037,2.0,0.6719838492183745
0.23031320587069962,0.4584002461015979,3.0,0.7318868631605969
0.2632024060704877,0.3519155878737943,2.0,0.80060907892033
0.3007882518043099,0.23258430364101934,2.0,0.8712044030981321
0.3437414337286243,0.07908935540032669,2.0,0.954362726533821
0.39282841850712547,-0.011091721231287988,0.0,1.0
0.4489251258218608,-0.011091721231287988,0.0,1.0
0.5130325584897003,-0.011091721231287988,0.0,1.0
0.5862946645916403,-0.011091721231287988,0.0,1.0
0.670018750350959,-0.011091721231287988,0.0,1.0
0.7656988080124196,-0.011091721231287988,0.0,1.0
0.8750421749906804,-0.011091721231287988,0.0,1.0
1.0,-0.011091721231287988,0.0,1.0
