t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6875e-05,-0.24270255863666534,0.00010864116484299302,0.0017631432195203034,0.002360450784996959,0.0,0.0,0.00010864116484299301,1103.9311915953474,471579.43257591716,274609.0018795377,806113.9248121948,5922042.410276674
2,0.00019375,0.12143613398075104,0.0001241840363945812,0.0018593048019231748,0.0023721860180485775,0.0,8.581129084899095e-26,0.0001241840363945812,1320.9054703973768,530339.2269666654,1080523.3654081237,-209973.51501327418,-25012307.604065087
3,0.000290625,-0.3785422742366791,0.00010144781845156103,0.0019493214732344826,0.0023363842791099174,0.0,0.0,0.00010144781845156102,1577.1122858673282,439539.2489297458,1026424.4766180635,291628.6569251195,-19558473.412178975
4,0.0003875,-0.022720063105225563,9.916338603943586e-05,0.002046171470811139,0.002334183462352069,0.0,0.0,9.916338603943585e-05,1347.9140507967297,434462.2675797423,1083214.4075440124,-205060.51999051333,-13999686.671356853
5,0.000484375,-0.3801526427268982,9.12031828192994e-05,0.002136130371435592,0.0022982368098870645,0.0,0.0,9.12031828192994e-05,908.6785934791394,392220.2627301244,1082684.4106515232,206037.67275013798,-14179158.94975973
6,0.00058125,-0.14964988827705383,9.099166345549747e-05,0.0022319226322439025,0.00228379352791126,0.0,0.0,9.099166345549747e-05,53.71403480026402,386590.4709887216,1115724.5581670932,-131920.2600724534,-11153515.671056734
7,0.0006781249999999999,-0.3146335184574127,8.899017848307267e-05,0.002324042024648497,0.0022538138153040924,0.0,0.0,8.899017848307267e-05,710.9600717992289,378840.13966608775,1126972.1440275214,94179.74690715916,-12001104.893963277
8,0.0007749999999999999,-0.22121426463127136,8.785403770161793e-05,0.002418556349599778,0.002232558039524233,0.0,0.0,8.785403770161791e-05,1172.9872728615755,375963.65417887823,1134921.1417264808,-53266.101041629925,-10332323.925606314
9,0.0008718749999999998,-0.26520106196403503,8.657384023535997e-05,0.0025120445822962036,0.0022071667817314617,0.0,0.0,8.657384023535995e-05,1819.4562837850622,368149.2807983538,1137832.554420037,25048.529297242432,-10418463.189890467
