t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6875e-05,-0.16942569613456726,0.0001458182669011876,0.0017645953509060047,0.002367397745200494,0.0,2.772008644423935e-23,0.00014581826690118765,792.6227956586285,364587.73780429474,474457.32779277593,670468.2737788011,4669142.121038625
2,0.00019375,0.053719595074653625,0.00016547682753298432,0.0018613306038274123,0.0023725993283471225,0.0,3.213372427996102e-23,0.00016547682753298437,679.7263754940814,413376.4517217629,1099855.4360535431,-212816.01253334654,-20945212.544446174
3,0.000290625,-0.07275143265724182,0.00014639667642768472,0.001957949348289416,0.0023655577487241967,0.0,2.7721243992072184e-23,0.00014639667642768475,600.4934127140455,364264.6988299846,1127534.608539612,109945.906291574,-16631054.94594764
4,0.0003875,-0.11711530387401581,0.00013655021029990166,0.0020541607388363543,0.0023542381217857996,0.0,1.0857454007784363e-23,0.0001365502102999017,793.02659728567,339293.1146817128,1137399.866310543,35934.43308538323,-13448912.95043206
5,0.000484375,-0.13562248647212982,0.00013026171654928476,0.002150146170448811,0.0023411399332404167,0.0,2.732590173330438e-23,0.00013026171654928478,856.9334496669276,322790.3029115631,1138449.5662408564,14402.50714515787,-11644682.848946273
6,0.00058125,-0.14586830139160156,0.0001271132641704753,0.0022459923647196694,0.002327059000430662,0.0,1.6432709941470277e-23,0.0001271132641704753,871.8535676567208,314661.987916386,1138597.0141223543,7754.70827766399,-10654464.053870436
7,0.0006781249999999999,-0.14868955314159393,0.00012434390373528004,0.0023417984517451057,0.0023127077177745882,0.0,1.6033935005588525e-23,0.00012434390373528006,872.9544996757932,307329.74287683587,1138654.381778045,2150.412975367757,-9942199.641729042
8,0.0007749999999999999,-0.14696316421031952,0.00012191671703476459,0.002437629171882669,0.002298521854990955,0.0,1.4054871605639077e-23,0.00012191671703476463,818.9135884664565,300287.98151679453,1138657.2834828226,-1308.0718267619118,-9440011.545251673
9,0.0008718749999999998,-0.14299850165843964,0.00011962801363551989,0.0025335153808728797,0.002284716039169875,0.0,1.270592455030841e-24,0.0001196280136355199,833.3813495087479,294307.30763107917,1138649.721605248,-2961.8717844591565,-9080664.621828336
