t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.6875e-05,-0.11901223659515381,0.0001516406482551247,0.0017652971746693728,0.0023722303358831532,0.0,2.8826922493469257e-23,0.00015164064825512474,824.2714517853678,379145.3710252707,493401.94671662746,697239.4188391207,4855576.417661007
2,0.00019375,0.16566112637519836,0.00016373269318137318,0.001860845912154174,0.002388205453724989,0.0,6.790791041425486e-24,0.00016373269318137318,574.5888973339922,408505.3184675849,1103494.174743869,-163334.2294031185,-21461839.580311228
3,0.000290625,-0.1999286413192749,0.0001428501564078033,0.001955791235016506,0.0023689661374282083,0.0,2.4618374057110575e-23,0.00014285015640780332,1031.1861981144061,355417.59669736814,1080055.482423282,210816.3203299005,-15769567.613977578
4,0.0003875,-0.006313943304121494,0.00013786289491690695,0.002052664304019356,0.002368354478234696,0.0,2.4096229167102173e-23,0.00013786289491690698,1053.7053228108002,342552.71026485134,1122524.232083444,-110656.10797062298,-12861617.79534387
5,0.000484375,-0.2118884027004242,0.00012934848200529814,0.002147372744521423,0.0023479810415421186,0.0,1.38835955246156e-23,0.00012934848200529816,1025.2101371195122,320574.1009338937,1120454.1458087068,117538.09457750092,-11938341.195003344
6,0.00058125,-0.09764701873064041,0.0001273030648007989,0.002243786262710581,0.0023385365121526293,0.0,1.0411938581257559e-23,0.00012730306480079892,1027.2793534183788,315258.67017609155,1133065.2821493633,-65159.69289983788,-10225623.038818102
7,0.0006781249999999999,-0.17261692881584167,0.0001242341531906277,0.0023392215698608354,0.0023218971679907774,0.0,1.8853270943063725e-23,0.00012423415319062772,1011.1411029972419,306599.9593384201,1136247.3382213288,42787.82241551605,-10199753.123683466
8,0.0007749999999999999,-0.1347024291753769,0.00012195153976790607,0.002435219011929446,0.0023088872970735154,0.0,9.971821732025947e-24,0.00012195153976790608,959.0140988593444,300426.5858720768,1138040.734131556,-21665.561684351793,-9348801.0790977
9,0.0008718749999999998,-0.14678040146827698,0.00011969923070864752,0.0025310523231136957,0.0022947189488118887,0.0,3.790320946481061e-23,0.00011969923070864753,726.2778424400465,293813.07165248034,1138595.922956715,6920.735051754204,-9146171.487273723
10,0.0009687499999999998,-0.1358458399772644,0.00011759747576434165,0.0026270348268056516,0.002281599321910805,0.0,9.064985659116635e-24,0.00011759747576434167,681.3605372713591,288601.9944082914,1138606.5418959465,-6315.887914929232,-8801953.248899614
11,0.0010656249999999997,-0.13313403725624084,0.00011561964493012056,0.002723052555372528,0.002268740028545398,0.0,2.4179861067598757e-23,0.00011561964493012058,984.3921142854538,283142.90023389267,1138655.782548573,-1550.0411435573303,-8608870.475921746
12,0.0011624999999999997,-0.1269063651561737,0.00011378435738151893,0.0028191485049193026,0.002256478947610024,0.0,2.3959814789188247e-23,0.00011378435738151896,995.2232144722816,278004.80261758255,1138642.2252933185,-3580.5868674952662,-8425117.082169827
13,0.0012593749999999996,-0.12275388836860657,0.00011205677583348006,0.002915294539680645,0.002244617007436902,0.0,2.376219069208956e-23,0.00011205677583348007,1005.326107182705,273128.7814259641,1138651.5155022598,-2403.7969858056995,-8273687.284158832
14,0.0013562499999999996,-0.1178588718175888,0.00011037800140911713,0.0030114974867193195,0.0022332258439285526,0.0,7.596897970351667e-24,0.00011037800140911716,1011.7224148493588,268460.7428862325,1138648.4925651925,-2829.2137602757284,-8157625.56649292
15,0.0014531249999999996,-0.11389420926570892,0.00010878141620196402,0.003107744839674679,0.0022222161811686655,0.0,7.616866199519635e-24,0.00010878141620196403,1023.1906057412582,263885.64709067426,1138651.812490131,-2359.2038461399625,-8053294.316823193
16,0.0015499999999999995,-0.10916758328676224,0.00010729290806921199,0.003204043155865569,0.002211661564936921,0.0,2.382085694274934e-24,0.000107292908069212,1018.3291483137546,259362.4539719718,1138649.5505327766,-2694.264583479162,-7966849.991891072
17,0.0016468749999999995,-0.10532340407371521,0.00010585928248474374,0.003300381334259244,0.002201477213765228,0.0,2.472311583567164e-24,0.00010585928248474376,1029.075467563564,255263.39696537657,1138652.638456526,-2197.899774044084,-7879419.792729821
18,0.0017437499999999994,-0.10177423804998398,0.00010445026418892667,0.003396755051765063,0.002191634846209168,0.0,4.9841136171121495e-24,0.0001044502641889267,857.8756759583201,251727.57994831528,1138653.4530796357,-2071.525642740513,-7830866.636292066
19,0.0018406249999999994,-0.0978095754981041,0.00010313912207493559,0.003493167033408211,0.0021821746442746755,0.0,5.0685394402883584e-24,0.0001031391220749356,867.4902921057469,247852.14956803227,1138652.271969788,-2280.305533449345,-7738271.782301902
20,0.0019374999999999993,-0.09426040947437286,0.00010186390863964334,0.0035896119835781954,0.002173056683334355,0.0,5.076350998885422e-24,0.00010186390863964335,893.1537598111108,244101.5324110871,1138653.4620963936,-2059.161609250439,-7717440.003690717
21,0.0020343749999999993,-0.09078793972730637,0.00010063371155411005,0.0036860880140598246,0.0021642736788650544,0.0,4.743837041915619e-24,0.00010063371155411005,1042.474065588493,239929.8283241462,1138653.7716771918,-2004.7931188791636,-7661137.031951792
22,0.0021312499999999995,-0.08750328421592712,9.9453805887606e-05,0.003782592373195978,0.002155807611730879,0.0,4.801593442282334e-24,9.945380588760601e-05,1046.7729068580418,236372.68271898938,1138654.489451752,-1871.4718151327133,-7626936.373116097
23,0.0022281249999999996,-0.08421862870454788,9.830766066443175e-05,0.003879124019805744,0.002147658573271822,0.0,5.589153560734392e-24,9.830766066443176e-05,1041.6853661580549,232885.07065951038,1138654.3177191785,-1894.2326106469466,-7581086.540988711
24,0.002325,-0.08139737695455551,9.720824164105579e-05,0.003975678272704321,0.00213978190695937,0.0,8.644693853443375e-24,9.72082416410558e-05,950.5601678086653,229344.2994661559,1138655.6617273395,-1633.0964478397132,-7546295.31026431
25,0.002421875,-0.07838831096887589,9.61221448960714e-05,0.004072255789851957,0.002132195813986167,0.0,9.26202956151854e-24,9.612214489607142e-05,1124.6558533853365,226060.1645382425,1138654.979519811,-1749.665089162855,-7532753.989538908
26,0.00251875,-0.07556705921888351,9.51000110944733e-05,0.00416885432489702,0.0021248822203313623,0.0,9.250451604197112e-24,9.51000110944733e-05,1125.455198450443,222885.97371858262,1138655.495844638,-1632.0242679418182,-7494307.620803825
27,0.0026156250000000003,-0.0733075886964798,9.4061360869091e-05,0.004265469138199644,0.0021177869067019847,0.0,9.502576538515298e-24,9.406136086909102e-05,1126.5874348220282,219674.8135588298,1138656.7938811672,-1343.9511702556772,-7467235.366147302
28,0.0027125000000000005,-0.07048633694648743,9.311750181950629e-05,0.0043621035846410205,0.00211096419565954,0.0,9.503490366163669e-24,9.31175018195063e-05,1126.6156392868866,216690.70215379715,1138655.4099505697,-1678.6854957092742,-7440106.042163252
29,0.0028093750000000007,-0.06822686642408371,9.219910862157121e-05,0.004458753200114441,0.0021043598445301664,0.0,9.485226293540466e-24,9.219910862157123e-05,1127.135774766462,213754.16842415804,1138656.6697504227,-1367.8808965065527,-7433656.214280348
30,0.002906250000000001,-0.06540561467409134,9.127106750383973e-05,0.004555421063461136,0.0020980281922193833,0.0,9.59953571524204e-24,9.127106750383974e-05,1002.8626611966195,210953.73337857734,1138655.210330855,-1694.435214323366,-7399352.72713394
31,0.003003125000000001,-0.06295832991600037,9.038583084475249e-05,0.004652104132666988,0.002091933132421783,0.0,9.58720208728585e-24,9.03858308447525e-05,1130.2105032519396,207896.08697067288,1138656.350363264,-1426.7692847705919,-7389732.7602455
32,0.003100000000000001,-0.06069885939359665,8.953749056672677e-05,0.00474880072667563,0.002086056540541459,0.0,9.576401866795189e-24,8.953749056672679e-05,1022.4217875163913,205458.2293933215,1138656.658664094,-1360.164195690647,-7365638.338024436
33,0.0031968750000000014,-0.058607783168554306,8.869099110597745e-05,0.004845509397669206,0.00208038216131054,0.0,9.493537590698876e-24,8.869099110597746e-05,1014.6442433411537,202667.31624361782,1138657.037105015,-1265.2128030020613,-7357517.233434647
34,0.0032937500000000015,-0.05681172013282776,8.78286300576292e-05,0.004942228104216665,0.002074881486007766,0.0,7.47438718675826e-24,8.782863005762921e-05,1002.615308664899,199850.12043212575,1138657.283396964,-1122.094020229745,-7351703.675207093
35,0.0033906250000000017,-0.05428773909807205,8.70541698532179e-05,0.005038960386277383,0.0020696249441477963,0.0,5.396257926638204e-24,8.705416985321791e-05,1068.0715481852637,197011.70386109257,1138656.270290796,-1461.1449369588445,-7320952.539650013
36,0.003487500000000002,-0.052849315106868744,8.627628994872794e-05,0.005135700129398812,0.002064507549713143,0.0,5.4218135633798964e-24,8.627628994872796e-05,1067.7805795679922,194393.7649476049,1138657.9216580985,-900.9702800163132,-7319074.6364690745
37,0.003584375000000002,-0.05086544156074524,8.547382458345965e-05,0.005232449834405161,0.0020595820846402366,0.0,1.0634056393708087e-23,8.547382458345966e-05,1120.3166274097846,191809.45765581712,1138657.1780364031,-1179.9513857263098,-7309009.382459849
38,0.0036812500000000022,-0.04925862327218056,8.475071081193164e-05,0.005329207328838152,0.002054812085054293,0.0,1.0578669364456312e-23,8.475071081193165e-05,1118.2901896135852,189320.58137975814,1138657.7151067571,-992.88638787841,-7295281.037202418
39,0.0037781250000000024,-0.04699915274977684,8.405154949286953e-05,0.005425975353952012,0.002050260718164738,0.0,1.9079734005613976e-23,8.405154949286954e-05,1058.3015764394208,186887.91498496747,1138656.5353251728,-1376.9443994359654,-7269622.129517664
40,0.0038750000000000026,-0.04556072875857353,8.332091238116845e-05,0.005522749825749361,0.002045848549384621,0.0,1.8859894932112592e-23,8.332091238116847e-05,1052.9488025647852,184387.00900779493,1138658.0671656367,-860.260222824829,-7287432.602235519
41,0.003971875000000002,-0.04395391047000885,8.263670315500349e-05,0.005619531262167862,0.002041591885224552,0.0,1.2551866921836837e-23,8.26367031550035e-05,1106.064821245241,182063.98525129684,1138657.8281353125,-955.6905673355673,-7289640.118388544
42,0.004068750000000002,-0.0421578474342823,8.194056863430887e-05,0.005716320187718616,0.002037509053397185,0.0,1.2465046884224254e-23,8.194056863430889e-05,1103.239813155693,179628.16852161274,1138657.2008688557,-1143.9598973064383,-7283770.724421272
43,0.004165625000000002,-0.040719423443078995,8.125973545247689e-05,0.005813114885979394,0.0020335654492582215,0.0,1.2421590199338015e-23,8.12597354524769e-05,1104.718961256237,177261.71521414295,1138658.2628780047,-837.6298067508017,-7280657.916896011
44,0.0042625000000000015,-0.03928099945187569,8.06249663583003e-05,0.005909915156675847,0.0020297610809672274,0.0,1.2535477083924346e-23,8.062496635830031e-05,1110.1997945228457,174956.28485133278,1138658.3251516763,-822.0263770985708,-7264488.4941608505
