t,a,phi,lambda,xc_1,xc_2,xc_3,uimp_1,uimp_2,fimp_1,fimp_2,KI,KII,T
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.74609375e-05,-0.3575078248977661,0.00011181757145095617,0.0013042130734765786,0.002566997797866919,0.0,2.2033023601296893e-25,0.00011181757145095618,388.18286309273526,283876.8026250005,195862.33692693728,421903.71281443216,7146220.699150857
2,0.000194921875,-2.0703628063201904,0.0001427147217327729,0.001257524894426914,0.002481447530331362,0.0,2.5202453300881625e-18,0.0001427147217327721,736.4739412893905,362142.6916281056,713038.0306492408,-285037.5000704705,-12999579.529224351
3,0.0002923828125,-0.4324842393398285,0.00020075083011761308,0.0013460123440753747,0.0024405989612855555,0.0,2.8108323713054417e-25,0.0002007508301176131,1186.9796478730204,508912.41705837275,-30478.814487065596,-160314.74377657854,12244792.132155735
4,0.00038984375,-0.3343827724456787,0.00018580960750114173,0.0014380752180015723,0.0024086136274147334,0.0,2.488295334869565e-25,0.00018580960750114175,583.3594955485955,471082.05737287464,1083070.8307109994,-340930.10126572824,-12350288.048367355
5,0.0004873046875,-0.2744556963443756,0.0001626006414880976,0.0015318884712560796,0.0023821994673450934,0.0,2.0123184973528358e-25,0.00016260064148809764,893.4746212064092,412742.92486676335,1125996.4599759863,-159515.80177824554,-11207286.005639773
6,0.000584765625,-0.2223266363143921,0.00015151833940763026,0.0016269506092743606,0.0023607093707010067,0.0,7.18863733000711e-26,0.0001515183394076303,799.3358669358677,382427.0680371247,1132607.369471668,-105595.25682803418,-9402084.802107874
7,0.0006822265625,-0.17872712016105652,0.0001452756259823218,0.0017228590699462818,0.0023433830465114545,0.0,2.8407054729429876e-25,0.0001452756259823218,1233.6027141561303,366271.7175117244,1135114.8514854163,-78865.13168210583,-8534337.175446764
8,0.0007796875,-0.15315158665180206,0.00014055121573619545,0.0018191792467637201,0.002328515031303084,0.0,2.008572480962095e-25,0.00014055121573619547,572.731665628487,353508.0525841197,1137420.5926875866,-46695.446981734065,-8584738.447909445
9,0.0008771484375,-0.13806454837322235,0.00013663845311384648,0.0019157127674561993,0.0023151018392484827,0.0,1.3141149170734231e-25,0.00013663845311384648,625.026476176286,342200.42516924924,1138229.2243150992,-27500.333914452018,-8573420.55689733
10,0.000974609375,-0.1293073296546936,0.00013303919695317745,0.002012360047403757,0.002302534515861328,0.0,1.7375560490345841e-25,0.00013303919695317748,820.3733419111916,333780.6406424152,1138513.6537922935,-15975.356371745642,-8532923.233726794
11,0.0010720703124999999,-0.12422449886798859,0.0001298690913245082,0.0021090699562077773,0.0022904585944680364,0.0,5.57002851193467e-26,0.0001298690913245082,913.9258891216641,325393.03311328276,1138611.0158962288,-9151.551484779584,-8454945.043473275
12,0.00116953125,-0.12110823392868042,0.00012700891238637269,0.0022058170271415734,0.002278684104920292,0.0,1.9797772314192877e-18,0.00012700891238637353,894.7001699717989,318045.27687822795,1138641.0504593928,-5603.453653418055,-8371447.995093365
13,0.0012669921875,-0.11919260025024414,0.00012429605703800917,0.0023025864761562925,0.0022670949688107034,0.0,1.7739524862897593e-18,0.00012429605703800993,903.0445698063704,310403.21640287014,1138652.2024556983,-3426.2984694996617,-8281618.978708391
14,0.0013644531250000002,-0.11775417625904083,0.00012182142381789163,0.0023993724951456266,0.00225564504013952,0.0,1.8313333778377003e-18,0.00012182142381789241,948.2823480755123,303348.1331984014,1138655.2322367965,-2534.7921919044074,-8188877.892640156
15,0.0014619140625000003,-0.11631575226783752,0.0001194657088490203,0.0024961748838531832,0.0022443343425973677,0.0,1.9390529141659908e-26,0.00011946570884902032,901.0881610490528,296499.2452104475,1138655.2772947259,-2541.847235450402,-8086151.925909573
16,0.0015593750000000004,-0.11487732827663422,0.00011730008554877713,0.0025929934419887,0.0022331628995867956,0.0,1.921933609680137e-26,0.00011730008554877715,955.5736938665545,290706.75403267075,1138655.2425171796,-2558.083748569913,-7995616.413329501
17,0.0016568359375000005,-0.11354610323905945,0.00011530343908816576,0.0026898267860354856,0.0022221203537256384,0.0,1.4432708191458643e-25,0.00011530343908816577,1063.2034821513134,285606.3846927009,1138655.7112462793,-2349.0321322935843,-7932533.210499588
18,0.0017542968750000006,-0.1117500364780426,0.00011334258306305856,0.0027866798070360255,0.0022112517447324008,0.0,8.86561631798233e-26,0.00011334258306305858,841.6811408426113,280028.85942548193,1138653.2711960422,-3086.3792160230278,-7830568.868506167
19,0.0018517578125000008,-0.10983440279960632,0.00011152509978273883,0.002883553470588851,0.002200568690476578,0.0,8.59243692935728e-26,0.00011152509978273886,819.0615982185009,274884.93756002013,1138653.1098084077,-3192.814575375581,-7776378.456179197
20,0.0019492187500000009,-0.1075749322772026,0.00010983014362864196,0.002980451024887369,0.0021901045464912997,0.0,8.257975205532399e-26,0.00010983014362864198,836.3275322563734,270044.48576219886,1138650.680473603,-3739.909446999632,-7691136.811477185
